id_station,nom_station,longitude,latitude,altitude_metres,precipitations_mm,qualite_donnee_rr,date,code_departement
1004003,AMBERIEU,5.348333,45.955,249,30.0,1.0,1877-03-20,01
1004003,AMBERIEU,5.348333,45.955,249,4.0,1.0,1877-03-21,01
1004003,AMBERIEU,5.348333,45.955,249,30.0,1.0,1877-03-22,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-03-23,01
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-03-24,01
1004003,AMBERIEU,5.348333,45.955,249,52.0,1.0,1877-03-25,01
1004003,AMBERIEU,5.348333,45.955,249,19.0,1.0,1877-03-26,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-03-27,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-03-28,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-03-29,01
1004003,AMBERIEU,5.348333,45.955,249,7.0,1.0,1877-03-30,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-03-31,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-03,01
1004003,AMBERIEU,5.348333,45.955,249,10.0,1.0,1877-04-04,01
1004003,AMBERIEU,5.348333,45.955,249,24.0,1.0,1877-04-05,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-06,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-07,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-08,01
1004003,AMBERIEU,5.348333,45.955,249,13.0,1.0,1877-04-09,01
1004003,AMBERIEU,5.348333,45.955,249,8.0,1.0,1877-04-10,01
1004003,AMBERIEU,5.348333,45.955,249,20.0,1.0,1877-04-11,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-12,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-13,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-14,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-15,01
1004003,AMBERIEU,5.348333,45.955,249,5.0,1.0,1877-04-16,01
1004003,AMBERIEU,5.348333,45.955,249,7.0,1.0,1877-04-17,01
1004003,AMBERIEU,5.348333,45.955,249,21.0,1.0,1877-04-18,01
1004003,AMBERIEU,5.348333,45.955,249,2.0,1.0,1877-04-19,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-20,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-21,01
1004003,AMBERIEU,5.348333,45.955,249,12.0,1.0,1877-04-22,01
1004003,AMBERIEU,5.348333,45.955,249,3.0,1.0,1877-04-23,01
1004003,AMBERIEU,5.348333,45.955,249,5.0,1.0,1877-04-24,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-25,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-04-26,01
1004003,AMBERIEU,5.348333,45.955,249,26.0,1.0,1877-04-27,01
1004003,AMBERIEU,5.348333,45.955,249,9.0,1.0,1877-04-28,01
1004003,AMBERIEU,5.348333,45.955,249,1.0,1.0,1877-04-29,01
1004003,AMBERIEU,5.348333,45.955,249,18.0,1.0,1877-04-30,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-01,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-02,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-03,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-04,01
1004003,AMBERIEU,5.348333,45.955,249,20.0,1.0,1877-05-05,01
1004003,AMBERIEU,5.348333,45.955,249,12.0,1.0,1877-05-06,01
1004003,AMBERIEU,5.348333,45.955,249,32.0,1.0,1877-05-07,01
1004003,AMBERIEU,5.348333,45.955,249,6.0,1.0,1877-05-08,01
1004003,AMBERIEU,5.348333,45.955,249,0.0,1.0,1877-05-09,01
